applicant_id,Status,applied_platform,platform_logo_url,company,company_logo_url,job_title,Industry,skills_mentioned,Education,Age Group,Years of Experience,hired,salary_offer_in_inr,Monthly Salary (INR),AI Risk,Location,application_date
A1029,Freelancer,LinkedIn,https://logo.clearbit.com/linkedin.com,TCS,https://logo.clearbit.com/tcs.com,Finance Analyst,E-commerce,"SQL, Machine Learning, Java, Node.js",Diploma,35-44,8,Yes,749740,62478,Moderate,Ahmedabad,11-03-2024
A1030,Intern,LinkedIn,https://logo.clearbit.com/linkedin.com,Accenture,https://logo.clearbit.com/accenture.com,Data Scientist,Manufacturing,"Problem Solving, Azure, Git",Bachelor's Degree,25-34,8,No,,,Low,Gurugram,10-02-2024
A1031,Intern,LinkedIn,https://logo.clearbit.com/linkedin.com,Adobe,https://logo.clearbit.com/adobe.com,Quality Analyst,Manufacturing,"AWS, C++, HTML, Communication, Azure",Diploma,25-34,5,Yes,575884,47990,Moderate,Pune,28-09-2024
A1032,Intern,Naukri,https://logo.clearbit.com/naukri.com,IBM,https://logo.clearbit.com/ibm.com,Mobile App Developer,Finance,"Leadership, Java, Python, SEO, Git",High School,35-44,0,Yes,789131,65761,High,Mumbai,30-07-2025
A1033,Unemployed,LinkedIn,https://logo.clearbit.com/linkedin.com,Tech Mahindra,https://logo.clearbit.com/techmahindra.com,Sales Executive,Manufacturing,"React, Excel, Java, Azure, Kubernetes",High School,35-44,6,No,,,Low,Gurugram,10-06-2024
A1034,Freelancer,Glassdoor,https://logo.clearbit.com/glassdoor.com,IBM,https://logo.clearbit.com/ibm.com,Data Analyst,Education,"C++, JavaScript, React, Docker, CSS",High School,55+,1,No,,,High,Bangalore,20-07-2025
A1035,Intern,Internshala,https://logo.clearbit.com/internshala.com,IBM,https://logo.clearbit.com/ibm.com,Sales Executive,Healthcare,"AWS, C++, Linux, Docker, Machine Learning",Master's Degree,25-34,3,No,,,Low,Delhi,15-05-2025
A1036,Intern,LinkedIn,https://logo.clearbit.com/linkedin.com,Wipro,https://logo.clearbit.com/wipro.com,UI/UX Designer,Human Resources,"SQL, Python, Communication, Leadership, React",High School,25-34,3,No,,,Moderate,Noida,14-10-2025
A1037,Employed,Naukri,https://logo.clearbit.com/naukri.com,Zomato,https://logo.clearbit.com/zomato.com,UI/UX Designer,Human Resources,"JavaScript, Java, HTML",Diploma,35-44,7,No,,,Moderate,Mumbai,01-06-2024
A1038,Intern,LinkedIn,https://logo.clearbit.com/linkedin.com,Ola,https://logo.clearbit.com/olacabs.com,Machine Learning Engineer,E-commerce,"React, SQL, Kubernetes, Excel, Presentation, CSS",PhD,35-44,2,Yes,1130972,94248,Low,Chennai,03-08-2024
A1039,Employed,LinkedIn,https://logo.clearbit.com/linkedin.com,Ola,https://logo.clearbit.com/olacabs.com,UI/UX Designer,Marketing,"Azure, Node.js, Presentation, Power BI",Master's Degree,18-24,1,No,,,Moderate,Bangalore,26-01-2024
A1040,Freelancer,Internshala,https://logo.clearbit.com/internshala.com,Adobe,https://logo.clearbit.com/adobe.com,HR Executive,E-commerce,"Node.js, Presentation, HTML, JavaScript, Tableau",Master's Degree,55+,6,No,,,High,Kolkata,09-02-2024
A1041,Employed,Naukri,https://logo.clearbit.com/naukri.com,Microsoft,https://logo.clearbit.com/microsoft.com,Mobile App Developer,Information Technology,"Kubernetes, Teamwork, Presentation, Azure, Python",High School,45-54,5,No,,,Moderate,Ahmedabad,16-07-2024
A1042,Intern,Internshala,https://logo.clearbit.com/internshala.com,Dell,https://logo.clearbit.com/dell.com,Frontend Developer,Information Technology,"Excel, Linux, Machine Learning, Tableau, C++",Bachelor's Degree,55+,4,No,,,Low,Hyderabad,03-07-2025
A1043,Unemployed,LinkedIn,https://logo.clearbit.com/linkedin.com,Google,https://logo.clearbit.com/google.com,Product Manager,Finance,"Problem Solving, Docker, SQL, JavaScript",Bachelor's Degree,25-34,5,No,,,High,Gurugram,02-09-2025
A1044,Unemployed,Internshala,https://logo.clearbit.com/internshala.com,Zoho,https://logo.clearbit.com/zoho.com,UI/UX Designer,Information Technology,"Tableau, Problem Solving, AWS",PhD,18-24,0,Yes,521947,43496,High,Pune,17-09-2024
A1045,Freelancer,Indeed,https://logo.clearbit.com/indeed.com,Infosys,https://logo.clearbit.com/infosys.com,Sales Executive,Education,"Power BI, Java, C++, Communication, Git",Diploma,35-44,0,Yes,294399,24533,Low,Mumbai,17-11-2024
A1046,Intern,Internshala,https://logo.clearbit.com/internshala.com,Swiggy,https://logo.clearbit.com/swiggy.com,DevOps Engineer,Finance,"Communication, Tableau, HTML, Kubernetes, Data Visualization, React",High School,45-54,5,No,,,High,Pune,15-07-2024
A1047,Freelancer,Indeed,https://logo.clearbit.com/indeed.com,Flipkart,https://logo.clearbit.com/flipkart.com,DevOps Engineer,Finance,"Data Visualization, Python, Kubernetes, Leadership, AWS, Power BI",Diploma,25-34,8,No,,,High,Bangalore,16-08-2025
A1048,Employed,Internshala,https://logo.clearbit.com/internshala.com,Zomato,https://logo.clearbit.com/zomato.com,Mobile App Developer,Healthcare,"C++, AWS, Machine Learning, Digital Marketing, Node.js, Teamwork",Bachelor's Degree,45-54,3,No,,,Low,Ahmedabad,27-03-2024
A1049,Freelancer,Glassdoor,https://logo.clearbit.com/glassdoor.com,Byjus,https://logo.clearbit.com/byjus.com,Quality Analyst,E-commerce,"Teamwork, Leadership, Azure",Bachelor's Degree,55+,2,No,,,High,Hyderabad,13-11-2024
A1050,Unemployed,Naukri,https://logo.clearbit.com/naukri.com,Amazon,https://logo.clearbit.com/amazon.com,Data Analyst,Human Resources,"Azure, Digital Marketing, Git",High School,18-24,6,No,,,Moderate,Ahmedabad,15-03-2024
A1051,Freelancer,Indeed,https://logo.clearbit.com/indeed.com,LTI,https://logo.clearbit.com/lntinfotech.com,Sales Executive,Manufacturing,"Digital Marketing, Tableau, Azure, React, Linux, Python",Bachelor's Degree,55+,5,No,,,Moderate,Noida,19-04-2024
A1052,Employed,Naukri,https://logo.clearbit.com/naukri.com,Flipkart,https://logo.clearbit.com/flipkart.com,Mobile App Developer,Manufacturing,"Data Visualization, Azure, JavaScript",Bachelor's Degree,35-44,1,Yes,808903,67409,Low,Hyderabad,12-04-2025
A1053,Intern,Indeed,https://logo.clearbit.com/indeed.com,Swiggy,https://logo.clearbit.com/swiggy.com,Quality Analyst,Human Resources,"Git, CSS, Machine Learning, Power BI, Data Visualization, SEO",PhD,18-24,6,Yes,670832,55903,High,Chennai,11-06-2024
A1054,Freelancer,Indeed,https://logo.clearbit.com/indeed.com,Dell,https://logo.clearbit.com/dell.com,HR Executive,Information Technology,"Leadership, Machine Learning, Digital Marketing, Linux, Azure",PhD,55+,6,No,,,High,Hyderabad,08-10-2024
A1055,Employed,LinkedIn,https://logo.clearbit.com/linkedin.com,IBM,https://logo.clearbit.com/ibm.com,HR Executive,Information Technology,"Communication, Data Visualization, Java, React, Azure",Bachelor's Degree,45-54,1,Yes,331257,27605,Moderate,Bangalore,27-01-2025
A1056,Unemployed,Naukri,https://logo.clearbit.com/naukri.com,Wipro,https://logo.clearbit.com/wipro.com,UI/UX Designer,Finance,"Communication, Data Visualization, SEO, Power BI, SQL, AWS",High School,18-24,5,No,,,Moderate,Mumbai,06-03-2025
A1057,Intern,Glassdoor,https://logo.clearbit.com/glassdoor.com,Infosys,https://logo.clearbit.com/infosys.com,Data Scientist,Information Technology,"Python, Excel, Kubernetes, Tableau, Power BI, Data Visualization",High School,18-24,8,No,,,Low,Noida,13-07-2025
A1058,Freelancer,Naukri,https://logo.clearbit.com/naukri.com,Paytm,https://logo.clearbit.com/paytm.com,HR Executive,Human Resources,"Power BI, Digital Marketing, Python, Tableau, Communication",Bachelor's Degree,35-44,1,No,,,Moderate,Gurugram,18-02-2025
A1059,Freelancer,Indeed,https://logo.clearbit.com/indeed.com,Amazon,https://logo.clearbit.com/amazon.com,Data Analyst,Finance,"Problem Solving, Teamwork, C++, Python, Java, Linux",Bachelor's Degree,35-44,1,No,,,Low,Mumbai,14-03-2025
A1060,Unemployed,Indeed,https://logo.clearbit.com/indeed.com,Flipkart,https://logo.clearbit.com/flipkart.com,Software Engineer,Finance,"Tableau, Communication, AWS, SEO, Leadership",Master's Degree,45-54,3,Yes,682835,56903,High,Noida,23-01-2025
A1061,Freelancer,Indeed,https://logo.clearbit.com/indeed.com,Dell,https://logo.clearbit.com/dell.com,Frontend Developer,Finance,"Python, CSS, Data Visualization, SQL, Excel, Azure",PhD,45-54,0,Yes,613676,51140,Moderate,Kolkata,11-03-2024
A1062,Unemployed,LinkedIn,https://logo.clearbit.com/linkedin.com,Accenture,https://logo.clearbit.com/accenture.com,Sales Executive,Marketing,"Git, React, Azure",PhD,18-24,6,No,,,High,Hyderabad,09-05-2024
A1063,Unemployed,LinkedIn,https://logo.clearbit.com/linkedin.com,LTI,https://logo.clearbit.com/lntinfotech.com,Sales Executive,Education,"HTML, Docker, Leadership, Excel, Node.js, Git",High School,25-34,0,No,,,Moderate,Gurugram,13-09-2025
A1064,Intern,Naukri,https://logo.clearbit.com/naukri.com,IBM,https://logo.clearbit.com/ibm.com,Backend Developer,Marketing,"Kubernetes, Problem Solving, C++",Diploma,55+,5,Yes,733309,61109,Moderate,Pune,19-01-2025
A1065,Unemployed,Naukri,https://logo.clearbit.com/naukri.com,Wipro,https://logo.clearbit.com/wipro.com,HR Executive,Finance,"HTML, Leadership, Kubernetes",Diploma,18-24,0,No,,,High,Ahmedabad,06-09-2025
A1066,Unemployed,Glassdoor,https://logo.clearbit.com/glassdoor.com,TCS,https://logo.clearbit.com/tcs.com,Business Analyst,Marketing,"C++, Excel, Java, Machine Learning, Linux, Communication",Bachelor's Degree,45-54,5,No,,,High,Ahmedabad,13-01-2024
A1067,Unemployed,Indeed,https://logo.clearbit.com/indeed.com,Google,https://logo.clearbit.com/google.com,UI/UX Designer,Manufacturing,"Linux, Teamwork, SEO, HTML, React",Bachelor's Degree,18-24,1,No,,,Moderate,Noida,21-03-2025
A1068,Freelancer,Glassdoor,https://logo.clearbit.com/glassdoor.com,Dell,https://logo.clearbit.com/dell.com,Finance Analyst,Manufacturing,"Power BI, CSS, Problem Solving, Docker, Communication, Azure",Master's Degree,35-44,3,No,,,Low,Bangalore,29-03-2024
A1069,Unemployed,Indeed,https://logo.clearbit.com/indeed.com,Accenture,https://logo.clearbit.com/accenture.com,Mobile App Developer,Healthcare,"Communication, Python, Digital Marketing, Teamwork, Node.js, Leadership",Master's Degree,55+,4,No,,,Moderate,Pune,05-08-2024
A1070,Unemployed,Internshala,https://logo.clearbit.com/internshala.com,Zoho,https://logo.clearbit.com/zoho.com,Product Manager,Finance,"Data Visualization, Python, Machine Learning, AWS, Java",High School,18-24,5,Yes,1617466,134789,Moderate,Kolkata,04-09-2024
A1071,Unemployed,Indeed,https://logo.clearbit.com/indeed.com,Tech Mahindra,https://logo.clearbit.com/techmahindra.com,HR Executive,Healthcare,"Linux, HTML, Digital Marketing, SEO, Python, Java",Diploma,35-44,2,No,,,Moderate,Delhi,28-10-2024
A1072,Unemployed,Indeed,https://logo.clearbit.com/indeed.com,Accenture,https://logo.clearbit.com/accenture.com,DevOps Engineer,Manufacturing,"Digital Marketing, Data Visualization, Machine Learning, Excel, Power BI",Master's Degree,55+,4,No,,,High,Kolkata,17-07-2025
A1073,Freelancer,Internshala,https://logo.clearbit.com/internshala.com,Zomato,https://logo.clearbit.com/zomato.com,Product Manager,Education,"Docker, Azure, JavaScript, CSS, AWS",Diploma,55+,0,No,,,High,Pune,19-11-2024
A1074,Unemployed,Glassdoor,https://logo.clearbit.com/glassdoor.com,Flipkart,https://logo.clearbit.com/flipkart.com,Sales Executive,E-commerce,"CSS, Digital Marketing, Docker, Problem Solving",Master's Degree,25-34,8,No,,,Moderate,Kolkata,21-06-2025
A1075,Employed,Internshala,https://logo.clearbit.com/internshala.com,Google,https://logo.clearbit.com/google.com,Sales Executive,Manufacturing,"Azure, Excel, Node.js, Kubernetes, Python",PhD,35-44,1,No,,,High,Pune,30-06-2025
A1076,Employed,Internshala,https://logo.clearbit.com/internshala.com,TCS,https://logo.clearbit.com/tcs.com,Software Engineer,Marketing,"HTML, React, Linux, Leadership, Digital Marketing",Bachelor's Degree,55+,0,No,,,High,Bangalore,15-04-2024
A1077,Employed,Glassdoor,https://logo.clearbit.com/glassdoor.com,IBM,https://logo.clearbit.com/ibm.com,Finance Analyst,Finance,"SEO, Communication, Node.js, SQL, Docker, Digital Marketing",Master's Degree,25-34,0,Yes,463486,38624,Low,Chennai,26-04-2024
A1078,Intern,Indeed,https://logo.clearbit.com/indeed.com,Paytm,https://logo.clearbit.com/paytm.com,Frontend Developer,Manufacturing,"React, Presentation, Problem Solving",Master's Degree,25-34,0,Yes,582506,48542,Low,Pune,07-11-2024
A1079,Employed,Naukri,https://logo.clearbit.com/naukri.com,Google,https://logo.clearbit.com/google.com,UI/UX Designer,Information Technology,"Leadership, Machine Learning, Tableau, SEO",High School,18-24,3,No,,,High,Pune,29-03-2025
A1080,Employed,Glassdoor,https://logo.clearbit.com/glassdoor.com,Adobe,https://logo.clearbit.com/adobe.com,DevOps Engineer,Education,"Git, CSS, JavaScript",PhD,45-54,2,No,,,High,Chennai,31-07-2024
A1081,Intern,Internshala,https://logo.clearbit.com/internshala.com,Wipro,https://logo.clearbit.com/wipro.com,Marketing Intern,Education,"Node.js, Data Visualization, Java, Python",Bachelor's Degree,45-54,6,No,,,High,Gurugram,22-02-2025
A1082,Freelancer,Glassdoor,https://logo.clearbit.com/glassdoor.com,Paytm,https://logo.clearbit.com/paytm.com,DevOps Engineer,E-commerce,"Azure, Kubernetes, HTML",PhD,55+,6,Yes,1107868,92322,Low,Noida,16-10-2024
A1083,Freelancer,LinkedIn,https://logo.clearbit.com/linkedin.com,Accenture,https://logo.clearbit.com/accenture.com,Product Manager,Information Technology,"Power BI, JavaScript, Data Visualization, Azure",Bachelor's Degree,55+,3,No,,,High,Mumbai,01-06-2024
A1084,Intern,Naukri,https://logo.clearbit.com/naukri.com,Wipro,https://logo.clearbit.com/wipro.com,Software Engineer,Manufacturing,"Presentation, Kubernetes, Git, CSS",PhD,55+,3,Yes,634279,52857,Moderate,Hyderabad,05-08-2025
A1085,Freelancer,Indeed,https://logo.clearbit.com/indeed.com,Google,https://logo.clearbit.com/google.com,Mobile App Developer,Manufacturing,"HTML, Tableau, Docker, Machine Learning, Data Visualization",PhD,18-24,6,No,,,Low,Gurugram,20-05-2025
A1086,Intern,LinkedIn,https://logo.clearbit.com/linkedin.com,Byjus,https://logo.clearbit.com/byjus.com,Software Engineer,Marketing,"CSS, Communication, Git, Docker, Python, Java",High School,25-34,8,Yes,951236,79270,High,Kolkata,22-08-2024
A1087,Unemployed,Glassdoor,https://logo.clearbit.com/glassdoor.com,Infosys,https://logo.clearbit.com/infosys.com,Product Manager,Healthcare,"Leadership, Node.js, Digital Marketing",Diploma,45-54,6,No,,,High,Gurugram,15-06-2025
A1088,Freelancer,Internshala,https://logo.clearbit.com/internshala.com,Flipkart,https://logo.clearbit.com/flipkart.com,UI/UX Designer,Finance,"Java, Digital Marketing, Excel, Power BI, Communication, HTML",PhD,35-44,1,No,,,Moderate,Chennai,17-04-2024
A1089,Intern,Internshala,https://logo.clearbit.com/internshala.com,Adobe,https://logo.clearbit.com/adobe.com,Finance Analyst,Healthcare,"C++, Tableau, Teamwork, Leadership, Data Visualization",Bachelor's Degree,45-54,6,No,,,Moderate,Delhi,07-02-2024
A1090,Unemployed,LinkedIn,https://logo.clearbit.com/linkedin.com,Zoho,https://logo.clearbit.com/zoho.com,Product Manager,Human Resources,"JavaScript, Leadership, Tableau, Machine Learning, Teamwork",Bachelor's Degree,25-34,7,No,,,High,Kolkata,02-01-2024
A1091,Unemployed,Indeed,https://logo.clearbit.com/indeed.com,Adobe,https://logo.clearbit.com/adobe.com,Software Engineer,Education,"Machine Learning, Excel, Git, Leadership",High School,25-34,6,Yes,876049,73004,High,Kolkata,25-05-2025
A1092,Employed,LinkedIn,https://logo.clearbit.com/linkedin.com,Microsoft,https://logo.clearbit.com/microsoft.com,Product Manager,Marketing,"Kubernetes, SEO, HTML, Digital Marketing",Diploma,35-44,0,No,,,High,Delhi,04-05-2024
A1093,Intern,Glassdoor,https://logo.clearbit.com/glassdoor.com,Accenture,https://logo.clearbit.com/accenture.com,Marketing Intern,Healthcare,"Data Visualization, Python, Power BI, Java, Azure",Bachelor's Degree,18-24,6,No,,,Moderate,Ahmedabad,26-04-2024
A1094,Intern,LinkedIn,https://logo.clearbit.com/linkedin.com,Amazon,https://logo.clearbit.com/amazon.com,Finance Analyst,Finance,"Machine Learning, HTML, Docker, Power BI, Teamwork",High School,45-54,6,No,,,High,Ahmedabad,09-05-2025
A1095,Employed,Naukri,https://logo.clearbit.com/naukri.com,Zomato,https://logo.clearbit.com/zomato.com,Machine Learning Engineer,Marketing,"AWS, Git, Machine Learning, CSS, React, Java",Bachelor's Degree,55+,5,No,,,High,Mumbai,09-10-2024
A1096,Freelancer,Internshala,https://logo.clearbit.com/internshala.com,Swiggy,https://logo.clearbit.com/swiggy.com,Product Manager,Education,"Kubernetes, CSS, Teamwork",Master's Degree,18-24,8,Yes,1607732,133978,High,Delhi,24-08-2025
A1097,Intern,Indeed,https://logo.clearbit.com/indeed.com,Amazon,https://logo.clearbit.com/amazon.com,Mobile App Developer,Human Resources,"Excel, Communication, Data Visualization, Leadership, Tableau, SEO",PhD,55+,2,No,,,Low,Hyderabad,25-11-2024
A1098,Unemployed,Naukri,https://logo.clearbit.com/naukri.com,LTI,https://logo.clearbit.com/lntinfotech.com,Data Scientist,Finance,"Leadership, Power BI, SQL, Communication",Diploma,45-54,5,No,,,High,Chennai,29-04-2025
A1099,Intern,Indeed,https://logo.clearbit.com/indeed.com,Amazon,https://logo.clearbit.com/amazon.com,Finance Analyst,Healthcare,"React, Machine Learning, Problem Solving",PhD,35-44,0,No,,,Low,Gurugram,05-12-2024
A1100,Employed,Indeed,https://logo.clearbit.com/indeed.com,Google,https://logo.clearbit.com/google.com,Mobile App Developer,Manufacturing,"CSS, React, Power BI",PhD,18-24,0,Yes,719380,59948,Moderate,Noida,07-06-2024
A1101,Intern,Indeed,https://logo.clearbit.com/indeed.com,Dell,https://logo.clearbit.com/dell.com,Quality Analyst,Finance,"Linux, Java, Communication, C++, Data Visualization, Tableau",Master's Degree,45-54,6,No,,,Moderate,Pune,20-11-2024
A1102,Freelancer,Glassdoor,https://logo.clearbit.com/glassdoor.com,TCS,https://logo.clearbit.com/tcs.com,Frontend Developer,Information Technology,"Linux, C++, Kubernetes, Azure",Diploma,55+,5,Yes,639351,53279,Low,Mumbai,02-04-2024
A1103,Employed,LinkedIn,https://logo.clearbit.com/linkedin.com,Google,https://logo.clearbit.com/google.com,Mobile App Developer,Finance,"HTML, Kubernetes, Python, SQL",PhD,45-54,0,No,,,Low,Ahmedabad,28-11-2024
A1104,Employed,Internshala,https://logo.clearbit.com/internshala.com,Ola,https://logo.clearbit.com/olacabs.com,Business Analyst,Finance,"React, Azure, Machine Learning, Power BI, Problem Solving, C++",High School,25-34,1,No,,,Low,Kolkata,03-07-2024
A1105,Unemployed,Naukri,https://logo.clearbit.com/naukri.com,Wipro,https://logo.clearbit.com/wipro.com,Data Scientist,Manufacturing,"Digital Marketing, Problem Solving, React, Azure",Bachelor's Degree,25-34,3,No,,,High,Mumbai,17-04-2025
A1106,Intern,Indeed,https://logo.clearbit.com/indeed.com,Dell,https://logo.clearbit.com/dell.com,Data Analyst,Healthcare,"Kubernetes, C++, Data Visualization, Node.js, Java, SEO",Bachelor's Degree,45-54,8,No,,,High,Bangalore,19-12-2024
A1107,Employed,Internshala,https://logo.clearbit.com/internshala.com,Adobe,https://logo.clearbit.com/adobe.com,Product Manager,Information Technology,"Kubernetes, AWS, Tableau, Digital Marketing, JavaScript, Azure",High School,55+,8,No,,,Moderate,Kolkata,25-01-2025
A1108,Freelancer,Internshala,https://logo.clearbit.com/internshala.com,LTI,https://logo.clearbit.com/lntinfotech.com,DevOps Engineer,Healthcare,"Python, Teamwork, C++, Tableau, Docker",Bachelor's Degree,25-34,8,No,,,Moderate,Chennai,09-01-2024
A1109,Freelancer,LinkedIn,https://logo.clearbit.com/linkedin.com,Byjus,https://logo.clearbit.com/byjus.com,Finance Analyst,Marketing,"Leadership, Presentation, Azure, Git, Excel",Master's Degree,45-54,2,No,,,Moderate,Kolkata,12-08-2024
A1110,Freelancer,Glassdoor,https://logo.clearbit.com/glassdoor.com,Dell,https://logo.clearbit.com/dell.com,Machine Learning Engineer,Information Technology,"Linux, SQL, Kubernetes",High School,45-54,0,No,,,Moderate,Delhi,27-03-2025
